Spp_jetz;animal;Imports
Abeillia_abeillei;Abeillia_abeillei;9
Accipiter_badius;Accipiter_badius;299
Accipiter_bicolor;Accipiter_bicolor;40
Accipiter_brachyurus;Accipiter_brachyurus;1
Accipiter_brevipes;Accipiter_brevipes;25
Accipiter_butleri;Accipiter_butleri;600
Accipiter_castanilius;Accipiter_castanilius;70
Accipiter_cooperii;Accipiter_cooperii;117
Accipiter_erythropus;Accipiter_erythropus;24
Accipiter_francesiae;Accipiter_francesiae;8
Accipiter_gentilis;Accipiter_gentilis;5647
Accipiter_gularis;Accipiter_gularis;4
Accipiter_madagascariensis;Accipiter_madagascariensis;1
Accipiter_melanoleucus;Accipiter_melanoleucus;342
Accipiter_minullus;Accipiter_minullus;212
Accipiter_nanus;Accipiter_nanus;2
Accipiter_nisus;Accipiter_nisus;849
Accipiter_novaehollandiae;Accipiter_novaehollandiae;66
Accipiter_ovampensis;Accipiter_ovampensis;8
Accipiter_poliocephalus;Accipiter_poliocephalus;2
Accipiter_poliogaster;Accipiter_poliogaster;16
Accipiter_princeps;Accipiter_princeps;5
Accipiter_rufiventris;Accipiter_rufiventris;2
Accipiter_striatus;Accipiter_striatus;8
Accipiter_superciliosus;Accipiter_superciliosus;3
Accipiter_tachiro;Accipiter_tachiro;63
Accipiter_toussenelii;Accipiter_toussenelii;20
Accipiter_trivirgatus;Accipiter_trivirgatus;18
Accipiter_virgatus;Accipiter_virgatus;4
Aceros_cassidix;Aceros_cassidix;12
Aceros_comatus;Aceros_comatus;14
Aceros_corrugatus;Aceros_corrugatus;147
Aceros_leucocephalus;Aceros_leucocephalus;14
Aceros_plicatus;Aceros_plicatus;1240
Aceros_undulatus;Aceros_undulatus;50
Aceros_waldeni;Aceros_waldeni;2
Adelomyia_melanogenys;Adelomyia_melanogenys;4
Aegolius_acadicus;Aegolius_acadicus;21
Aegolius_funereus;Aegolius_funereus;258
Aegypius_monachus;Aegypius_monachus;217
Agapornis_canus;Agapornis_canus;135522
Agapornis_fischeri;Agapornis_fischeri;1797672
Agapornis_lilianae;Agapornis_lilianae;25179
Agapornis_nigrigenis;Agapornis_nigrigenis;33670
Agapornis_personatus;Agapornis_personatus;1055763
Agapornis_pullarius;Agapornis_pullarius;40681
Agapornis_roseicollis;Agapornis_roseicollis;1274134
Agapornis_swindernianus;Agapornis_swindernianus;903
Agapornis_taranta;Agapornis_taranta;1735
Agelastes_meleagrides;Agelastes_meleagrides;30
Aglaeactis_cupripennis;Aglaeactis_cupripennis;909
Aglaiocercus_coelestis;Aglaiocercus_coelestis;2
Aglaiocercus_kingi;Aglaiocercus_kingi;189
Alipiopsitta_xanthops;Alipiopsitta_xanthops;744
Alisterus_amboinensis;Alisterus_amboinensis;21439
Alisterus_chloropterus;Alisterus_chloropterus;10625
Alisterus_scapularis;Alisterus_scapularis;6836
Alopochen_aegyptiaca;Alopochen_aegyptiaca;405
Amadina_fasciata;Amadina_fasciata;1598935
Amandava_amandava;Amandava_amandava;2800
Amandava_formosa;Amandava_formosa;100
Amandava_subflava;Amandava_subflava;768396
Amazilia_amabilis;Amazilia_amabilis;3
Amazilia_amazilia;Amazilia_amazilia;5731
Amazilia_beryllina;Amazilia_beryllina;10
Amazilia_brevirostris;Amazilia_brevirostris;2
Amazilia_candida;Amazilia_candida;1
Amazilia_chionogaster;Amazilia_chionogaster;20
Amazilia_fimbriata;Amazilia_fimbriata;25
Amazilia_franciae;Amazilia_franciae;587
Amazilia_rosenbergi;Amazilia_rosenbergi;5
Amazilia_rutila;Amazilia_rutila;7
Amazilia_tobaci;Amazilia_tobaci;20
Amazilia_tzacatl;Amazilia_tzacatl;10
Amazilia_yucatanensis;Amazilia_yucatanensis;5
Amazona_aestiva;Amazona_aestiva;595898
Amazona_agilis;Amazona_agilis;27
Amazona_albifrons;Amazona_albifrons;52706
Amazona_amazonica;Amazona_amazonica;422479
Amazona_arausiaca;Amazona_arausiaca;11
Amazona_auropalliata;Amazona_auropalliata;17705
Amazona_autumnalis;Amazona_autumnalis;88703
Amazona_barbadensis;Amazona_barbadensis;559
Amazona_brasiliensis;Amazona_brasiliensis;146
Amazona_collaria;Amazona_collaria;233
Amazona_dufresniana;Amazona_dufresniana;5661
Amazona_farinosa;Amazona_farinosa;78880
Amazona_festiva;Amazona_festiva;5582
Amazona_finschi;Amazona_finschi;4459
Amazona_guildingii;Amazona_guildingii;84
Amazona_imperialis;Amazona_imperialis;2
Amazona_leucocephala;Amazona_leucocephala;1186
Amazona_mercenaria;Amazona_mercenaria;84
Amazona_ochrocephala;Amazona_ochrocephala;148121
Amazona_oratrix;Amazona_oratrix;3683
