City;code;Country;Lat;LONG
Amravati;AMR;India;20.93;77.77
Barcelona;BCN;Spain;41.39;2.15
Brisbane;BNE;Australia;-27.47;153.02
Bristol;BRS;UK;51.45;-2.58
Cameron_Highlands;CHG;Malaysia;4.48;101.45
Canterbury;NZCH;New_Zeland;-43.5;171.5
Cayenne;CAY;French Guiana;4.93;-52.33
Ciudad_de_Mexico;MEX;Mexico;19.43;-99.13
Cluj-Napoca;CLN.B;Romania;46.77;23.59
Dunedin;DUD;New_Zeland;-45.87;170.5
Fukuoka;FUK;Japan;33.35;130.24
Gainesville;GAI;USA;29.65;-82.32
Hamilton;HAM;New_Zeland;-37.73;175.27
Iowa;IOW;USA;42.03;-93.58
Jerusalem;JER;Israel;31.771.959;35.21
La_Paz;LPB;Bolivia;-16.48;-68.11
Lansing;LAN;USA;42.73;-84.55
Las_Palmas;SPC;Spain;29.14;-13.49
Madrid;MAD;Spain;40.42;-3.71
Mar_del_Plata;MDQ;Argentina;-37.97;-57.58
Margarita_Island;PMV;Venezuela;10.99;-63.91
Melbourne;MEL;Australia;-37.81;144.96
Mindanao;MIN;Phillipines;8.49;123.3
Minneapolis_Saint_Paul;SIS;USA;44.95;-93.09
Montreal;MON;Canada;45.5;-73.58
Morelia;MOR;Mexico;19.7;-101.18
Nanchong;NAN;China;30.47;106.8
Newcastle;NTL;Australia;-32.93;151.78
Olongapo;OLO;Phillipines;14.83;120.29
Orebro;ORB;Sweden;59.27;15.2
Oxford;OXF;USA;33.61;-85.83
Palmas;PAL;Brazil;-10.1;-48.32
Palo_Alto;PAO;USA;37.47;-122.14
Pauri;PAUR;India;30.15;78.76
Phalaborwa;PHAL;South Africa;-23.94;31.14
Phoenix;PHO;USA;33.44;-112.07
Pretoria;PRT;South Africa;-25.73;28.21
Puerto_Rico;PR;USA;18.46;-66.1
Quezon_City;QUE;Phillipines;12;122
Rennes;RNS;France;48.11;-1.67
Santa_Fe;SFE;Argentina;-31.37;-60.42
Santiago;SCL;Chile;-33.46;-70.64
Saskatoon;SAS;Canada;52.14;-106.64
Tornio;TOR;Finland;65.84;24.14
Toronto;YTZ;Canada;43.65;-79.38
Tumut;TUM;Australia;-35.3;148.22
Valdivia;ZAL;Chile;-39.82;-73.25
Valencia;VLC;Spain;39.43;-0.36
Washington;WA;USA;38.89;-77.04
Buenos_Aires;EZE;Argentina;-34.603;-58.38
Harwich;HWH;UK;51.94;1.28
Howard;HWD;Australia;-25.31;152.56
Jamshedpur;IXW;India;22.8;86.2
Kolkata;KOL;India;22.57;88.35
Miramar;MIR;Argentina;-38.26;-57.85
Monteria;MTR;Colombia;8.74;-75.88
Necochea;NEC;Argentina;-38.54;-58.73
Nelson;NSN;New_Zeland;-41.27;173.28
Porto_Alegre;POA;Brazil;-30.03;51.23
Tinian;TNI;Mariana_islands;145.63;15
Wellington;WLG;New_Zeland;-41.28;174.77
Harare;HRE;Zimbabwe;-17.49;31.03
KwaZulu_Natal;KZN;South_Africa;-30.34;30.34
La_Serena;LSC;Chile;-29.90;-71.21
Ovalle;OVA;Chile;-30.60;-71.29
Rancagua;RNC;Chile;-34.17;-70.74
Talca;TLC;Chile;-35.42;-71.65
