"","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id"
"1","Accipiter gentilis","Accipiter gentilis","TURDUS1","","Plasmodium","Accipiter gentilis","Accipiter_gentilis","yes","Accipiter gentilis","TURDUS1 Accipiter gentilis"
"2","Accipiter gentilis","Accipiter gentilis","ACCGEN01","ACGE01","Leucocytozoon","Accipiter gentilis","Accipiter_gentilis","yes","Accipiter gentilis","ACCGEN01 Accipiter gentilis"
"3","Accipiter gentilis","Accipiter gentilis","BUTBUT03","","Leucocytozoon","Accipiter gentilis","Accipiter_gentilis","yes","Accipiter gentilis","BUTBUT03 Accipiter gentilis"
"4","Accipiter nisus","Accipiter nisus","ACNI04","","Leucocytozoon","Accipiter nisus","Accipiter_nisus","yes","Accipiter nisus","ACNI04 Accipiter nisus"
"5","Accipiter nisus","Accipiter nisus","ACNI1","","Leucocytozoon","Accipiter nisus","Accipiter_nisus","yes","Accipiter nisus","ACNI1 Accipiter nisus"
"6","Accipiter nisus","Accipiter nisus","ACNI03","","Leucocytozoon","Accipiter nisus","Accipiter_nisus","yes","Accipiter nisus","ACNI03 Accipiter nisus"
"7","Accipiter nisus","Accipiter nisus","BT7","","Plasmodium","Accipiter nisus","Accipiter_nisus","yes","Accipiter nisus","BT7 Accipiter nisus"
"8","Accipiter nisus","Accipiter nisus","CIAE02","","Leucocytozoon","Accipiter nisus","Accipiter_nisus","yes","Accipiter nisus","CIAE02 Accipiter nisus"
"9","Accipiter nisus","Accipiter nisus","TURDUS1","","Plasmodium","Accipiter nisus","Accipiter_nisus","yes","Accipiter nisus","TURDUS1 Accipiter nisus"
"10","Acridotheres tristis","Sturnus tristis","FANTAIL01","","Plasmodium","Sturnus tristis","Acridotheres_tristis","no","Acridotheres tristis","FANTAIL01 Acridotheres tristis"
"11","Acridotheres tristis","Sturnus tristis","SGS1","P22","Plasmodium","Sturnus tristis","Acridotheres_tristis","no","Acridotheres tristis","SGS1 Acridotheres tristis"
"12","Acridotheres tristis","Sturnus tristis","GRW04","P15","Plasmodium","Sturnus tristis","Acridotheres_tristis","no","Acridotheres tristis","GRW04 Acridotheres tristis"
"13","Acrocephalus agricola","Acrocephalus agricola","HIICT1","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","HIICT1 Acrocephalus agricola"
"14","Acrocephalus agricola","Acrocephalus agricola","ACAGR2","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","ACAGR2 Acrocephalus agricola"
"15","Acrocephalus agricola","Acrocephalus agricola","GRW11","","Plasmodium","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","GRW11 Acrocephalus agricola"
"16","Acrocephalus agricola","Acrocephalus agricola","SW4","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","SW4 Acrocephalus agricola"
"17","Acrocephalus agricola","Acrocephalus agricola","ACDUM2","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","ACDUM2 Acrocephalus agricola"
"18","Acrocephalus agricola","Acrocephalus agricola","GRW04","","Plasmodium","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","GRW04 Acrocephalus agricola"
"19","Acrocephalus agricola","Acrocephalus agricola","SGS1","","Plasmodium","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","SGS1 Acrocephalus agricola"
"20","Acrocephalus arundinaceus","Acrocephalus arundinaceus","RTSR1","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","RTSR1 Acrocephalus arundinaceus"
"21","Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW11","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW11 Acrocephalus arundinaceus"
"22","Acrocephalus arundinaceus","Acrocephalus arundinaceus","SW2","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","SW2 Acrocephalus arundinaceus"
"23","Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW10","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW10 Acrocephalus arundinaceus"
"24","Acrocephalus arundinaceus","Acrocephalus arundinaceus","ACSTE1","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","ACSTE1 Acrocephalus arundinaceus"
"25","Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW05","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW05 Acrocephalus arundinaceus"
"26","Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW02","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW02 Acrocephalus arundinaceus"
"27","Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW04","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW04 Acrocephalus arundinaceus"
"28","Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW01","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW01 Acrocephalus arundinaceus"
"29","Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW06","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW06 Acrocephalus arundinaceus"
"30","Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW03","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW03 Acrocephalus arundinaceus"
"31","Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW08","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW08 Acrocephalus arundinaceus"
"32","Acrocephalus arundinaceus","Acrocephalus arundinaceus","SGS1","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","SGS1 Acrocephalus arundinaceus"
"33","Acrocephalus baeticatus","Acrocephalus baeticatus","ARW1","","Haemoproteus","Acrocephalus baeticatus","Acrocephalus_baeticatus","yes","Acrocephalus baeticatus","ARW1 Acrocephalus baeticatus"
"34","Acrocephalus baeticatus","Acrocephalus baeticatus","MW1","","Haemoproteus","Acrocephalus baeticatus","Acrocephalus_baeticatus","yes","Acrocephalus baeticatus","MW1 Acrocephalus baeticatus"
"35","Acrocephalus dumetorum","Acrocephalus dumetorum","SW2","","Plasmodium","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","SW2 Acrocephalus dumetorum"
