"","X","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id"
"1",1,"Accipiter gentilis","Accipiter gentilis","TURDUS1","","Plasmodium","Accipiter gentilis","Accipiter_gentilis","yes","Accipiter gentilis","TURDUS1 Accipiter gentilis"
"7",7,"Accipiter nisus","Accipiter nisus","BT7","","Plasmodium","Accipiter nisus","Accipiter_nisus","yes","Accipiter nisus","BT7 Accipiter nisus"
"9",9,"Accipiter nisus","Accipiter nisus","TURDUS1","","Plasmodium","Accipiter nisus","Accipiter_nisus","yes","Accipiter nisus","TURDUS1 Accipiter nisus"
"10",10,"Acridotheres tristis","Sturnus tristis","FANTAIL01","","Plasmodium","Sturnus tristis","Acridotheres_tristis","no","Acridotheres tristis","FANTAIL01 Acridotheres tristis"
"11",11,"Acridotheres tristis","Sturnus tristis","SGS1","P22","Plasmodium","Sturnus tristis","Acridotheres_tristis","no","Acridotheres tristis","SGS1 Acridotheres tristis"
"12",12,"Acridotheres tristis","Sturnus tristis","GRW04","P15","Plasmodium","Sturnus tristis","Acridotheres_tristis","no","Acridotheres tristis","GRW04 Acridotheres tristis"
"13",13,"Acrocephalus agricola","Acrocephalus agricola","HIICT1","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","HIICT1 Acrocephalus agricola"
"14",14,"Acrocephalus agricola","Acrocephalus agricola","ACAGR2","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","ACAGR2 Acrocephalus agricola"
"15",15,"Acrocephalus agricola","Acrocephalus agricola","GRW11","","Plasmodium","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","GRW11 Acrocephalus agricola"
"16",16,"Acrocephalus agricola","Acrocephalus agricola","SW4","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","SW4 Acrocephalus agricola"
"17",17,"Acrocephalus agricola","Acrocephalus agricola","ACDUM2","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","ACDUM2 Acrocephalus agricola"
"18",18,"Acrocephalus agricola","Acrocephalus agricola","GRW04","","Plasmodium","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","GRW04 Acrocephalus agricola"
"19",19,"Acrocephalus agricola","Acrocephalus agricola","SGS1","","Plasmodium","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","SGS1 Acrocephalus agricola"
"20",20,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","RTSR1","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","RTSR1 Acrocephalus arundinaceus"
"21",21,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW11","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW11 Acrocephalus arundinaceus"
"22",22,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","SW2","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","SW2 Acrocephalus arundinaceus"
"23",23,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW10","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW10 Acrocephalus arundinaceus"
"24",24,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","ACSTE1","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","ACSTE1 Acrocephalus arundinaceus"
"25",25,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW05","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW05 Acrocephalus arundinaceus"
"26",26,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW02","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW02 Acrocephalus arundinaceus"
"27",27,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW04","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW04 Acrocephalus arundinaceus"
"28",28,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW01","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW01 Acrocephalus arundinaceus"
"29",29,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW06","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW06 Acrocephalus arundinaceus"
"30",30,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW03","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW03 Acrocephalus arundinaceus"
"31",31,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","GRW08","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW08 Acrocephalus arundinaceus"
"32",32,"Acrocephalus arundinaceus","Acrocephalus arundinaceus","SGS1","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","SGS1 Acrocephalus arundinaceus"
"33",33,"Acrocephalus baeticatus","Acrocephalus baeticatus","ARW1","","Haemoproteus","Acrocephalus baeticatus","Acrocephalus_baeticatus","yes","Acrocephalus baeticatus","ARW1 Acrocephalus baeticatus"
"34",34,"Acrocephalus baeticatus","Acrocephalus baeticatus","MW1","","Haemoproteus","Acrocephalus baeticatus","Acrocephalus_baeticatus","yes","Acrocephalus baeticatus","MW1 Acrocephalus baeticatus"
"35",35,"Acrocephalus dumetorum","Acrocephalus dumetorum","SW2","","Plasmodium","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","SW2 Acrocephalus dumetorum"
"36",36,"Acrocephalus dumetorum","Acrocephalus dumetorum","MW1","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","MW1 Acrocephalus dumetorum"
"37",37,"Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM4","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM4 Acrocephalus dumetorum"
"38",38,"Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM3","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM3 Acrocephalus dumetorum"
"39",39,"Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM1","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM1 Acrocephalus dumetorum"
"40",40,"Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM2","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM2 Acrocephalus dumetorum"
"41",41,"Acrocephalus dumetorum","Acrocephalus dumetorum","ACDUM5","","Haemoproteus","Acrocephalus dumetorum","Acrocephalus_dumetorum","yes","Acrocephalus dumetorum","ACDUM5 Acrocephalus dumetorum"
"42",42,"Acrocephalus paludicola","Acrocephalus paludicola","SYBOR02","","Plasmodium","Acrocephalus paludicola","Acrocephalus_paludicola","yes","Acrocephalus paludicola","SYBOR02 Acrocephalus paludicola"
"43",43,"Acrocephalus paludicola","Acrocephalus paludicola","TURDUS1","","Plasmodium","Acrocephalus paludicola","Acrocephalus_paludicola","yes","Acrocephalus paludicola","TURDUS1 Acrocephalus paludicola"
"44",44,"Acrocephalus paludicola","Acrocephalus paludicola","SW2","","Plasmodium","Acrocephalus paludicola","Acrocephalus_paludicola","yes","Acrocephalus paludicola","SW2 Acrocephalus paludicola"
"45",45,"Acrocephalus palustris","Acrocephalus palustris","WW2","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","WW2 Acrocephalus palustris"
"46",46,"Acrocephalus palustris","Acrocephalus palustris","RW3","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","RW3 Acrocephalus palustris"
"47",47,"Acrocephalus palustris","Acrocephalus palustris","SGS1","","Plasmodium","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","SGS1 Acrocephalus palustris"
"48",48,"Acrocephalus palustris","Acrocephalus palustris","ARW1","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","ARW1 Acrocephalus palustris"
"49",49,"Acrocephalus palustris","Acrocephalus palustris","SW1","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","SW1 Acrocephalus palustris"
"50",50,"Acrocephalus palustris","Acrocephalus palustris","MW1","","Haemoproteus","Acrocephalus palustris","Acrocephalus_palustris","yes","Acrocephalus palustris","MW1 Acrocephalus palustris"
