"","tip","lineages","alt_lineages","Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","WJSpecID","Scientific","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","X2010.IUCN.Red.List.category","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","urban","humanDisturbed"
"1","Abroscopus superciliaris","ABSUP01","","Abroscopus superciliaris","Sylviidae","Passeriformes",5,2,3,0,4,12.3,7.4,3.1,2.8,16.6,51.2,6.5,44.5,12.7,42.4,6.48,"Dunning","NA","NO","NA","NA","Shrubland","1","1","Carnivore","Invertivore","Insessorial","-8.11","28.81","9.89","105.19858720000001","2493437.4700000002","Extant",11000,"Abroscopus superciliaris","Abroscopus_superciliaris","S7S8","Leaf-Warblers, Bush-Warblers, Long-tailed Tits","Leaf-Warblers, Bush-Warblers, Long-tailed Tits","Yellow-bellied Warbler","bow11000","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"2","Acanthagenys rufogularis","ACARUF01, CLIPIC01","","Acanthagenys rufogularis","Meliphagidae","Passeriformes",17,5,12,0,4,25.7,11.3,3.7,5,25.1,111.1,25,82.8,23.2,111.4,47.8,"Dunning","NA","NO","NA","NA","Shrubland","2","1","Herbivore","Omnivore","Insessorial","-38.86","-16.14","-27.1","133.98445219999999","5976565.2000000002","Extant",7484,"Acanthagenys rufogularis","Acanthagenys_rufogularis","BC7","Honeyeaters","Honeyeaters, Thornbills, Bristlebirds, Australasian Wrens, Allies","Spiny-cheeked Honeyeater","bow07484","LC","BL3","Meliphagidae","Honeyeaters",117,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"3","Acanthiza katherina","ORW1","AP70","Acanthiza katherina","Acanthizidae","Passeriformes",7,2,4,1,2,11.5,5.8,2.4,2.6,18.1,52.1,9.1,42.7,17.6,41.1,7.2,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-19.07","-15.76","-17.760000000000002","144.84860430000001","58196.09","Extant",7560,"Acanthiza katherina","Acanthiza_katherina","BC6","Thornbills, Gerygones","Honeyeaters, Thornbills, Bristlebirds, Australasian Wrens, Allies","Mountain Thornbill","bow07560","LC","BL3","Acanthizidae","Thornbills and gerygones",120,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"4","Acanthorhynchus tenuirostris","ACATEN01","AP33","Acanthorhynchus tenuirostris","Meliphagidae","Passeriformes",20,6,12,2,4,26.8,18.9,2.3,2.7,18,65.6,14.2,54.6,20.6,57.1,10.44,"Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Nectarivore","Insessorial","-43.64","-15","-33.06","147.62288820000001","763502.74","Extant",7471,"Acanthorhynchus tenuirostris","Acanthorhynchus_tenuirostris","BC7","Honeyeaters","Honeyeaters, Thornbills, Bristlebirds, Australasian Wrens, Allies","Eastern Spinebill","bow07471","LC","BL3","Meliphagidae","Honeyeaters",117,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"5","Accipiter badius","ACCBAD01, ACCBAD02","KU81","Accipiter badius","Accipitridae","Accipitriformes",10,4,6,0,8,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,32.9,140.6,131.15,"Dunning","NA","NO","NA","NA","Shrubland","2","3","Carnivore","Vertivore","Insessorial","-29.47","46.39","8.23","44.982463899999999","22374973","Extant",4717,"Accipiter badius","Accipiter_badius","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Shikra","bow04717","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"6","Accipiter brevipes","ACCBRE03, ACCBRE02, ACCBRE01","","Accipiter brevipes","Accipitridae","Accipitriformes",8,4,4,0,4,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,186.48,"Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Generalist","31.19","55.86","45.24","45.327340130000003","2936751.8","Extant",4722,"Accipiter brevipes","Accipiter_brevipes","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Levant Sparrowhawk","bow04722","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"7","Accipiter cooperii","ACCOP01","","Accipiter cooperii","Accipitridae","Accipitriformes",5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.67,"Dunning","NA","NO","NA","NA","Woodland","2","3","Carnivore","Vertivore","Aerial","23.28","53.31","41.25","-100.49122","8393137.0600000005","Extant",4759,"Accipiter cooperii","Accipiter_cooperii","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Cooper's Hawk","bow04759","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"8","Accipiter francesiae","ACCFRA01, ACCFRA02","MDG_L14","Accipiter francesiae","Accipitridae","Accipitriformes",10,2,8,0,9,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,27.8,127.5,136.82,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-25.61","-11.36","-19.489999999999998","46.67125755","519468.81","Extant",4724,"Accipiter francesiae","Accipiter_francesiae","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Frances's Sparrowhawk","bow04724","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","0","1"
"9","Accipiter gentilis","LINN1, BUTBUT03, ACCGEN02, BUBT2, TURDUS1, ACCGEN01, ACCGEN03, BT2","ACGE02, ACGE01, ACGE03","Accipiter gentilis","Accipitridae","Accipitriformes",8,4,4,0,4,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866.04,"Dunning","NA","NO","NA","NA","Forest","1","2","Carnivore","Vertivore","Generalist","17.100000000000001","70.39","54.91","19.059175889999999","31775270.739999998","Extant",4767,"Accipiter gentilis","Accipiter_gentilis","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Northern Goshawk","bow04767","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
"10","Accipiter gularis","ACCGUL01, ACCGUL02, BT7, OTUSCO01, TURDUS1","","Accipiter gularis","Accipitridae","Accipitriformes",5,0,4,1,4,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,33.2,106.4,120.66,"Dunning","NA","NO","NA","NA","Forest","1","3","Carnivore","Vertivore","Insessorial","24.25","59","49.07","117.11192320000001","4785704.92","Extant",4744,"Accipiter gularis","Accipiter_gularis","Accipitridae","Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird","Japanese Sparrowhawk","bow04744","LC","BL3","Accipitridae","Osprey, kites, hawks and eagles",36,"ACCIPITRIFORMES","NONPASSERIFORMES","NONPASSERIFORMES","1","1"
