"","tip","lineages","alt_lineages","Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","WJSpecID","Scientific","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","X2010.IUCN.Red.List.category","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","urban","humanDisturbed"
"1","Ammodramus humeralis","DENPET03","","Ammodramus humeralis","Emberizidae","Passeriformes",12,4,6,2,4,12.6,8.1,4.5,6.3,18.7,56.4,2.4,53.9,4.3,45.6,15.99,"Dunning","NA","NO","NA","NA","Grassland","3","1","Herbivore","Granivore","Terrestrial","-41.17","12.46","-16.41","-54.836068259999998","9115378.4299999997","Extant",12555,"Ammodramus humeralis","Ammodramus_humeralis","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Grassland Sparrow","bow12555","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"2","Amphispiza bilineata","AMPBIL02, TROAED24","BTSP03, BTSP08","Amphispiza bilineata","Emberizidae","Passeriformes",6,2,4,0,6,11.7,8.2,4.6,5.9,18.1,63.5,11.3,52.2,17.7,64.8,13.5,"Dunning","NA","NO","NA","NA","Shrubland","2","2","Omnivore","Omnivore","Generalist","20.190000000000001","47.06","32.43","-108.9601103","2450691.64","Extant",12570,"Amphispiza bilineata","Amphispiza_bilineata","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Black-throated Sparrow","bow12570","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"3","Arremon flavirostris","ARRFLA01, COLL4","H07, H27","Arremon flavirostris","Emberizidae","Passeriformes",10,4,6,0,4,15.2,9.9,5.3,7.5,24.8,71.6,6.2,65.2,8.6,66,26.13,"Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Omnivore","Insessorial","-28.68","-12.91","-20.350000000000001","-53.736118240000003","2149781.35","Extant",12617,"Arremon flavirostris","Arremon_flavirostris","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Saffron-billed Sparrow","bow12617","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"4","Arremon taciturnus","DENPET03, ARRTAC01","","Arremon taciturnus","Emberizidae","Passeriformes",29,12,15,2,12,14.7,10,5.5,7.2,23.8,72.1,7.9,64.5,10.9,61.5,24.8,"Dunning","NA","NO","NA","NA","Forest","1","1","Herbivore","Omnivore","Insessorial","-20.18","9.84","-5.82","-55.667905740000002","6904094.96","Extant",12615,"Arremon taciturnus","Arremon_taciturnus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Pectoral Sparrow","bow12615","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"5","Atlapetes albinucha","BAEBIC02","SOSP_CA3P","Atlapetes albinucha","Emberizidae","Passeriformes",14,2,5,7,4,17.2,10.6,6.6,8,27,73.3,7.2,69.2,9.5,83.7,33.84,"Dunning","NA","NO","NA","NA","Forest","1","1","Omnivore","Omnivore","Generalist","0.35","21.54","11.21","-85.17823362","275050.2","Extant",12622,"Atlapetes albinucha","Atlapetes_albinucha","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","White-naped Brush-finch","bow12622","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"6","Atlapetes latinuchus","PAVER01","ATLLAT05,CHLRIE02","Atlapetes latinuchus","Emberizidae","Passeriformes",11,6,5,0,4,15.6,9,5.2,6.8,25.9,74.6,9.4,65.1,12.7,72.6,23.56,"Dunning","NA","NO","NA","NA","Forest","1","1","Omnivore","Omnivore","Insessorial","-8.57","10.9","-1.76","-77.598798380000005","190998.37","Extant",19575,"Atlapetes latinuchus","Atlapetes_latinuchus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Yellow-breasted Brush-finch","bow19575","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"7","Atlapetes melanocephalus","ARBRU02, ATMEL01","DICER-01, DICER-01","Atlapetes melanocephalus","Emberizidae","Passeriformes",4,0,1,3,4,15.9,9.5,5.9,6.9,26.3,70.5,10.3,60.2,14.6,77.2,25,"Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Omnivore","Generalist","10.48","11.09","10.79","-73.731496509999999","4032.81","Extant",12629,"Atlapetes melanocephalus","Atlapetes_melanocephalus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Santa Marta Brush-finch","bow12629","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"8","Chlorospingus ophthalmicus","CHLOPH01","","Chlorospingus ophthalmicus","Thraupidae","Passeriformes",45,12,26,7,6,14.7,8.2,4.8,5.5,21.4,67.3,10.3,55.8,15.6,63.8,19.98,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","-26.89","21.61","1.43","-78.59302726","587009.93999999994","Extant",12834,"Chlorospingus ophthalmicus","Chlorospingus_ophthalmicus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Common Bush-tanager","bow12834","LC","BL3","Thraupidae","Tanagers",193,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"9","Chondestes grammacus","CHOGRA01","","Chondestes grammacus","Emberizidae","Passeriformes",5,2,3,0,4,15.1,9.7,5.1,7.1,20.1,85.5,24.7,60.9,28.8,64.3,29,"Dunning","NA","NO","NA","NA","Shrubland","3","2","Herbivore","Granivore","Generalist","20.37","52.1","38.78","-103.75663400000001","5604939.2400000002","Extant",12569,"Chondestes grammacus","Chondestes_grammacus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Lark Sparrow","bow12569","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"10","Junco hyemalis","SPIPAS07, CB1, CNEORN01, JUHYE18, JUHYE19, ZOLEU02, JUHYE12, ACAFLA03, CATUST10, CATUST14, PACPEC02, TUMIG12, GYMSAL01, PASILI01, JUHYE03, SETAUD14, SPIARB01, GEOTRI09","ICBI,L fringillinarum,L.AK04, L Co1,L smokies, L.AK18, DEJU_CA_ELW_2H, H.AK08, H.AK06, P04.B","Junco hyemalis","Emberizidae","Passeriformes",8,3,5,0,4,11.6,7.8,4.5,5.3,21.1,75.2,16.4,58.6,21.9,63.8,19.5,"Dunning","NA","NO","NA","NA","Forest","2","3","Herbivore","Granivore","Generalist","30.59","70.27","53.3","-109.70357799999999","10167654.77","Extant",12529,"Junco hyemalis","Junco_hyemalis","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Dark-eyed Junco","bow12529","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"11","Junco phaeonotus","SETCOR06, CNEORN01","","Junco phaeonotus","Emberizidae","Passeriformes",5,2,3,0,4,12.9,8.2,4.6,5.9,21.4,77.7,16.6,61.3,21.2,68,20.4,"Dunning","NA","NO","NA","NA","Forest","2","2","Omnivore","Omnivore","Generalist","14.19","32.89","22.9","-102.2011559","536986.92000000004","Extant",12532,"Junco phaeonotus","Junco_phaeonotus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Yellow-eyed Junco","bow12532","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"12","Melospiza lincolnii","ZOLEU02, BT7, GEOTRI01, CNEORN01, BAEBIC02","LISP_CA_ELW_9L, P43,AMR.KGM64,P.AK01, OZ06J620, SOSP_CA3P","Melospiza lincolnii","Emberizidae","Passeriformes",4,2,2,0,4,13.2,8,4,5.1,20.1,64,14.3,49.7,22.3,56.8,16.6,"Dunning","NA","NO","NA","NA","Wetland","2","3","Omnivore","Omnivore","Generalist","32.71","66.53","54.29","-105.4372149","7567216.9299999997","Extant",12519,"Melospiza lincolnii","Melospiza_lincolnii","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Lincoln's Sparrow","bow12519","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"13","Melospiza melodia","CNEORN01, PADOM11, APSPI03, MELMEL01, MELMEL04, BAEBIC02, GEOTRI09, SEIAUR01, RWB01","P_SOSP4, P_SOSP1, P_SOSP7, SOSP_CA3P, P_SOSP2, SPTO_CA_ELW_6P, D1","Melospiza melodia","Emberizidae","Passeriformes",6,2,3,1,5,13.4,8.5,5.3,6.7,21.5,66.3,13.2,52.6,20.1,67.2,21.91,"Dunning","NA","NO","NA","NA","Shrubland","2","2","Omnivore","Omnivore","Generalist","18.989999999999998","62.57","47.88","-103.48294989999999","10313728.380000001","Extant",12517,"Melospiza melodia","Melospiza_melodia","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Song Sparrow","bow12517","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"14","Passerculus sandwichensis","CB1, ACAFLA03, ZOLEU02, CNEORN01","L.AK18, SASP_CA_ELW_8L","Passerculus sandwichensis","Emberizidae","Passeriformes",4,1,3,0,4,12.8,8.3,4.1,5.4,20.7,72.8,17.6,55.2,24.1,51.2,19.97,"Dunning","NA","NO","NA","NA","Grassland","3","3","Omnivore","Omnivore","Generalist","18.829999999999998","71.39","54.06","-108.300273","13886974.460000001","Extant",12534,"Passerculus sandwichensis","Passerculus_sandwichensis","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Savannah Sparrow","bow12534","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"15","Passerella iliaca","CB1, BAEBIC02, ZOLEU02, BT7, SPIARB01","FOSP_CA_ELW_10L, SOSP_CA3P, L.AK18, P43, H.AK06","Passerella iliaca","Emberizidae","Passeriformes",6,2,4,0,4,13.5,8.5,5.3,7.4,24.1,83.7,21.9,61.9,26.1,71.3,33.25,"Dunning","NA","NO","NA","NA","Forest","1","3","Omnivore","Omnivore","Generalist","32.61","70.64","57.8","-119.7033902","7385410.1900000004","Extant",12511,"Passerella iliaca","Passerella_iliaca","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Fox Sparrow","bow12511","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"16","Pipilo maculatus","PIPMAC01, BAEBIC02, SEIAUR01, PIPMAC03","SOSP_CA3P, SPTO_CA_ELW_6P","Pipilo maculatus","Emberizidae","Passeriformes",14,6,8,0,13,17.2,10.3,5.9,8,27.9,84.3,11.8,74,13.7,97.6,39.28,"Dunning","NA","NO","NA","NA","Forest","2","2","Omnivore","Omnivore","Generalist","14.26","54.19","41.82","-112.1049271","3630946.41","Extant",12601,"Pipilo maculatus","Pipilo_maculatus","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Spotted Towhee","bow12601","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"17","Spizella arborea","SPIARB01, ZOLEU02, CB1","H.AK06, L.AK18","Spizella arborea","Emberizidae","Passeriformes",5,2,3,0,4,11.8,7.9,4.6,6.2,20.2,72.2,14.5,58.5,19.9,69.2,17.83,"Dunning","NA","NO","NA","NA","Shrubland","2","3","Omnivore","Omnivore","Terrestrial","51.01","70.58","61.74","-116.4802686","4982334.37","Extant",12559,"Spizella arborea","Spizella_arborea","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","American Tree Sparrow","bow12559","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"18","Spizella pallida","DUMCAR01","","Spizella pallida","Emberizidae","Passeriformes",5,2,3,0,4,10.1,6,3.4,4.9,17.4,60.8,11.2,49,18.6,56.8,11.2,"Dunning","NA","NO","NA","NA","Shrubland","2","3","Omnivore","Granivore","Generalist","42.16","62.65","51.68","-104.7894666","3219955.48","Extant",12562,"Spizella pallida","Spizella_pallida","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Clay-coloured Sparrow","bow12562","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"19","Spizella passerina","SIAMEX01, CNEORN01, SPIPAS09, SPIPAS01, SEIAUR01, WW3, SPIPAS02","","Spizella passerina","Emberizidae","Passeriformes",5,2,3,0,4,13.1,7,4,4.9,16.3,68,16.3,51,24.2,56,12.2,"Dunning","NA","NO","NA","NA","Forest","2","3","Omnivore","Omnivore","Generalist","12.94","66.239999999999995","47.04","-103.7326331","13081064.539999999","Extant",12560,"Spizella passerina","Spizella_passerina","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Chipping Sparrow","bow12560","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"20","Zonotrichia albicollis","CB1","","Zonotrichia albicollis","Emberizidae","Passeriformes",10,4,5,1,5,13.6,8.4,5.1,6.3,23,72.8,14.3,58.1,19.7,70.4,24.4,"Dunning","NA","NO","NA","NA","Woodland","2","3","Herbivore","Omnivore","Terrestrial","40.700000000000003","65.849999999999994","53.74","-95.175919149999999","5662700.8499999996","Extant",12524,"Zonotrichia albicollis","Zonotrichia_albicollis","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","White-throated Sparrow","bow12524","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"21","Zonotrichia capensis","ZONCAP12, BAEBIC02, ZOCAP16, GRW04, ZOCAP17, TROAED01, ZOCAP14, ZOCAP08, PADOM17, CONCIN02, VOLJAC02, CNERUB01, TRMEL02, DENPET03, ZOCAP03, ELAALB01, ZOCAP21, PADOM09, CURCUR01, TROAED02, ZOCAP19, ZOCAP01","BAEBIC02, PlasH12, PlasH11, HaemH17, LEPAFF01, ZOCAP10, Haemoproteus sp. ZC1, FURLEU01, TRMEL02, 23, ChP6, H10, HaemH28, H22, HaemH20, ChH4","Zonotrichia capensis","Emberizidae","Passeriformes",169,24,59,86,22,13.6,8.7,5.3,6.5,23.8,63.9,11.4,56.8,16.8,59.4,20.31,"Dunning","NA","NO","NA","NA","Shrubland","3","1","Herbivore","Omnivore","Generalist","-55.72","19.190000000000001","-19.350000000000001","-58.419120669999998","12703362.43","Extant",12522,"Zonotrichia capensis","Zonotrichia_capensis","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","Rufous-collared Sparrow","bow12522","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"22","Zonotrichia leucophrys","CNEORN01, CB1, DUNNO01, CATUST10, PERCAN01, ZOLEU02, BT7, SPIARB01","L Co1,L smokies, H.AK05,H.AK09, MD.2011.SWTH.CA.LIN.5H, L.fringillinarum, P43,AMR.KGM64,P.AK01, H.AK06","Zonotrichia leucophrys","Emberizidae","Passeriformes",5,2,3,0,4,15.4,8.4,4.5,6,22.8,78.7,18.5,60.9,23.4,70.6,28,"Dunning","NA","NO","NA","NA","Shrubland","2","3","Omnivore","Omnivore","Generalist","33.380000000000003","70.64","58.71","-115.1429175","7364178.6100000003","Extant",12526,"Zonotrichia leucophrys","Zonotrichia_leucophrys","P20b","Buntings, American Sparrows, Brush-Finches","New World Warblers, New World blackbirds, Buntings, American Sparrows, Allies","White-crowned Sparrow","bow12526","LC","BL3","Emberizidae","Buntings, American sparrows and allies",192,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
