"","tip","lineages","alt_lineages","Species3","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","WJSpecID","Scientific","TipLabel","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","X2010.IUCN.Red.List.category","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc","urban","humanDisturbed"
"1","Acridotheres tristis","FANTAIL01, SGS1, GRW04","P22, P15","Acridotheres tristis","Sturnidae","Passeriformes",12,2,9,1,10,26.8,16,6.4,8,38.6,139.8,32.8,106.3,23.6,84.8,116.43,"Dunning","NA","NO","NA","NA","Human Modified","3","2","Carnivore","Omnivore","Terrestrial","0.81","48.29","27.06","81.587895160000002","8561587.6699999999","Extant",9523,"Acridotheres tristis","Acridotheres_tristis","M4","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Common Myna","bow09523","LC","BL3","Sturnidae","Starlings",177,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"2","Acrocephalus agricola","HIICT1, ACAGR2, GRW11, SW4, ACDUM2, GRW04, SGS1","","Acrocephalus agricola","Sylviidae","Passeriformes",5,2,3,0,4,13.6,7.8,3.2,2.8,21.1,55.2,10.1,44.7,18.4,54.9,9.6,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","35.39","56.93","46.5","71.710623999999996","6560153.7000000002","Extant",10794,"Acrocephalus agricola","Acrocephalus_agricola","S11","Old World Warblers I","Old World Warblers I","Paddyfield Warbler","bow10794","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"3","Acrocephalus arundinaceus","RTSR1, GRW11, SW2, GRW10, ACSTE1, GRW05, GRW02, GRW04, GRW01, GRW06, GRW03, GRW08, SGS1","","Acrocephalus arundinaceus","Sylviidae","Passeriformes",19,8,10,1,8,21.9,12.9,4.6,5.1,27.3,91.1,24.7,66.7,26.8,75,30,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","23.84","63.2","47.42","70.383746970000004","14642510.439999999","Extant",10802,"Acrocephalus arundinaceus","Acrocephalus_arundinaceus","S11","Old World Warblers I","Old World Warblers I","Great Reed-warbler","bow10802","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"4","Acrocephalus baeticatus","ARW1, MW1","","Acrocephalus baeticatus","Sylviidae","Passeriformes",5,2,3,0,4,19.5,8.6,3,2.9,20.5,59.1,10.7,47.9,18.2,49.2,10.2,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","NA","NA","NA","NA","NA","Extant",10798,"Acrocephalus baeticatus","Acrocephalus_baeticatus","S11","Old World Warblers I","Old World Warblers I","African Reed Warbler","bow10798","","IOC27","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"5","Acrocephalus dumetorum","SW2, MW1, ACDUM4, ACDUM3, ACDUM1, ACDUM2, ACDUM5","","Acrocephalus dumetorum","Sylviidae","Passeriformes",10,3,5,2,4,16.4,9.2,3.6,3.1,22.3,62.1,12.7,49.6,20.4,53.1,11.2,"Dunning","NA","NO","NA","NA","Wetland","2","3","Carnivore","Invertivore","Insessorial","37.32","64.23","55.04","64.739971980000007","5747941.2800000003","Extant",10800,"Acrocephalus dumetorum","Acrocephalus_dumetorum","S11","Old World Warblers I","Old World Warblers I","Blyth's Reed-warbler","bow10800","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"6","Acrocephalus paludicola","SYBOR02, TURDUS1, SW2","","Acrocephalus paludicola","Sylviidae","Passeriformes",5,2,3,0,4,12.3,7,2.6,2.9,19.4,62.1,17.7,44.4,28.4,47.2,11.6,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","49.28","56.15","52.09","24.2690217","182586.45","Extant",10789,"Acrocephalus paludicola","Acrocephalus_paludicola","S11","Old World Warblers I","Old World Warblers I","Aquatic Warbler","bow10789","VU","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"7","Acrocephalus palustris","WW2, RW3, SGS1, ARW1, SW1, MW1","","Acrocephalus palustris","Sylviidae","Passeriformes",17,6,11,0,4,16.1,8.2,3.3,3.3,21.3,68.6,19.2,49.6,27.9,56.5,11.5,"Dunning","NA","NO","NA","NA","Shrubland","2","3","Carnivore","Invertivore","Insessorial","37.03","65.42","51.96","32.355482369999997","5996672.7400000002","Extant",10801,"Acrocephalus palustris","Acrocephalus_palustris","S11","Old World Warblers I","Old World Warblers I","Marsh Warbler","bow10801","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"8","Acrocephalus schoenobaenus","RW1, GRW02, SW1, GRW04, WW2, SW5, ROBIN1, SW2, SGS1, SW3","MAPH2","Acrocephalus schoenobaenus","Sylviidae","Passeriformes",17,8,9,0,4,14.9,8.2,2.9,2.8,20.9,65.4,18.4,46.9,28.2,48.9,11.83,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","36.21","71.12","56.04","47.360319799999999","11967937.01","Extant",10791,"Acrocephalus schoenobaenus","Acrocephalus_schoenobaenus","S11","Old World Warblers I","Old World Warblers I","Sedge Warbler","bow10791","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"9","Acrocephalus scirpaceus","SGS1, SW1, WW1, GRW04, GRW06, RTSR1, SW5, MW1, RW2, WW2, GRW11, ARW1, RW1","MAPP1","Acrocephalus scirpaceus","Sylviidae","Passeriformes",17,6,11,0,4,17.4,8.8,3.4,2.8,21.7,67.1,17.4,49.9,25.8,52.2,12.3,"Dunning","NA","NO","NA","NA","Wetland","3","3","Carnivore","Invertivore","Insessorial","NA","NA","NA","NA","NA","Extant",10797,"Acrocephalus scirpaceus","Acrocephalus_scirpaceus","S11","Old World Warblers I","Old World Warblers I","Eurasian Reed-warbler","bow10797","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"10","Acrocephalus sechellensis","GRW01","","Acrocephalus sechellensis","Sylviidae","Passeriformes",5,2,3,0,4,17.7,10.2,4,3.3,24,65.8,7.8,58.4,11.8,60.6,15.87,"Dunning","NA","NO","NA","NA","Shrubland","2","1","Carnivore","Invertivore","Insessorial","-4.3499999999999996","-4.21","-4.2699999999999996","55.661767740000002","1.59","Extant",10831,"Acrocephalus sechellensis","Acrocephalus_sechellensis","S11","Old World Warblers I","Old World Warblers I","Seychelles Warbler","bow10831","VU","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"11","Acrocephalus stentoreus","GRW03, ACSTE1","","Acrocephalus stentoreus","Sylviidae","Passeriformes",13,2,11,0,12,24.6,14.7,4.4,4.6,27.3,80.1,18.2,62.1,22.6,74.5,24.2,"Dunning","NA","NO","NA","NA","Wetland","3","2","Carnivore","Invertivore","Insessorial","5.92","47.28","32.950000000000003","75.169787470000003","4179062.95","Extant",10804,"Acrocephalus stentoreus","Acrocephalus_stentoreus","S11","Old World Warblers I","Old World Warblers I","Clamorous Reed-warbler","bow10804","LC","BL3","Sylviidae","Old World warblers",161,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"12","Aegithalos caudatus","ROFI1, PHSIB1","","Aegithalos caudatus","Aegithalidae","Passeriformes",21,10,11,0,8,7.6,4.5,2.6,3.3,15.8,61.4,13.3,48.2,21.6,79.8,8.6,"Dunning","NA","NO","NA","NA","Forest","2","1","Carnivore","Invertivore","Insessorial","23.12","68.3","51.23","74.925981550000003","20041677.809999999","Extant",9964,"Aegithalos caudatus","Aegithalos_caudatus","S7S8","Leaf-Warblers, Bush-Warblers, Long-tailed Tits","Leaf-Warblers, Bush-Warblers, Long-tailed Tits","Long-tailed Tit","bow09964","LC","BL3","Aegithalidae","Long-tailed Tits",157,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"13","Agelaioides badius","MOLBAD01","37","Agelaioides badius","Icteridae","Passeriformes",15,4,7,4,4,18.3,11.6,5,8.8,25.7,91.6,15.8,75.9,17.2,74.1,45.25,"Dunning","NA","NO","NA","NA","Forest","2","1","Omnivore","Omnivore","Terrestrial","-43.67","-2.79","-24.2","-56.327221110000004","4752390.8","Extant",13444,"Agelaioides badius","Agelaioides_badius","P21","New World Blackbirds","New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies","Bay-winged Cowbird","bow13444","LC","BL3","Icteridae","New World blackbirds",190,"PASSERIFORMES","PASSERIFORMES","Passeri","1","1"
"14","Agelaius phoeniceus","SEIAUR01, RWB01","SPTO_CA_ELW_6P","Agelaius phoeniceus","Icteridae","Passeriformes",7,2,5,0,6,22.7,15.4,5.6,8.8,28,118,27.8,88.9,24,88.9,50.78,"Dunning","NA","NO","NA","NA","Wetland","3","3","Herbivore","Granivore","Generalist","9.66","67.41","44.62","-102.0354961","13703226.949999999","Extant",13402,"Agelaius phoeniceus","Agelaius_phoeniceus","P21","New World Blackbirds","New World warblers, New World Blackbirds, Buntings, American Sparrows, Allies","Red-winged Blackbird","bow13402","LC","BL3","Icteridae","New World blackbirds",190,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"15","Alauda arvensis","SGS1, SYAT05","","Alauda arvensis","Alaudidae","Passeriformes",29,10,19,0,12,14.8,8.7,4.5,4.8,23.9,108,37.5,70.6,34.7,67.7,37.31,"Dunning","NA","NO","NA","NA","Grassland","3","2","Omnivore","Omnivore","Terrestrial","-47.24","71.13","49.74","74.536364910000003","33005050.82","Extant",11529,"Alauda arvensis","Alauda_arvensis","S3","Larks","Larks, Allies","Eurasian Skylark","bow11529","LC","BL3","Alaudidae","Larks",158,"PASSERIFORMES","PASSERIFORMES","Passeri","0","1"
"16","Alcippe morrisonia","POMFER01, ALMOR06, ALMOR08","P47","Alcippe morrisonia","Timaliidae","Passeriformes",5,2,3,0,4,12.3,6.7,3,3.8,19.2,60.9,8.2,53.5,13.2,52.4,15.26,"Dunning","NA","NO","NA","NA","Forest","1","2","Omnivore","Invertivore","Insessorial","13.57","34.53","25.8","107.5422111","3103870.07","Extant",11309,"Alcippe morrisonia","Alcippe_morrisonia","S12","Babblers II, Old World Warblers II, Allies","Whiteyes, Babblers, Parrotbills, Old World Warblers II, Allies","Grey-cheeked Fulvetta","bow11309","LC","BL3","Timaliidae","Babblers and parrotbills",163,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
"17","Alcippe poioicephala","ALCPOI02, ALCPOI04","","Alcippe poioicephala","Timaliidae","Passeriformes",5,2,3,0,4,14.7,8.2,3.6,4.2,21.2,69.5,7.5,61.6,10.9,65.5,20.7,"Dunning","NA","NO","NA","NA","Forest","1","1","Carnivore","Invertivore","Insessorial","8.08","27.5","20.28","91.991334140000006","2023970.47","Extant",11306,"Alcippe poioicephala","Alcippe_poioicephala","S13","Whiteyes, Babblers I, Parrotbills","Whiteyes, Babblers, Parrotbills, Old World Warblers II, Allies","Brown-cheeked Fulvetta","bow11306","LC","BL3","Timaliidae","Babblers and parrotbills",163,"PASSERIFORMES","PASSERIFORMES","Passeri","0","0"
