"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"1","TURDUS1","","Plasmodium"
"2","ACCGEN01","ACGE01","Leucocytozoon"
"3","BUTBUT03","","Leucocytozoon"
"4","ACNI04","","Leucocytozoon"
"5","ACNI1","","Leucocytozoon"
"6","ACNI03","","Leucocytozoon"
"7","BT7","","Plasmodium"
"8","CIAE02","","Leucocytozoon"
"10","FANTAIL01","","Plasmodium"
"11","SGS1","P22","Plasmodium"
"12","GRW04","P15","Plasmodium"
"13","HIICT1","","Haemoproteus"
"14","ACAGR2","","Haemoproteus"
"15","GRW11","","Plasmodium"
"16","SW4","","Haemoproteus"
"17","ACDUM2","","Haemoproteus"
"20","RTSR1","","Plasmodium"
"22","SW2","","Plasmodium"
"23","GRW10","","Plasmodium"
"24","ACSTE1","","Haemoproteus"
"25","GRW05","","Haemoproteus"
"26","GRW02","","Plasmodium"
"28","GRW01","","Haemoproteus"
"29","GRW06","","Plasmodium"
"30","GRW03","","Haemoproteus"
"31","GRW08","","Haemoproteus"
"33","ARW1","","Haemoproteus"
"34","MW1","","Haemoproteus"
"37","ACDUM4","","Haemoproteus"
"38","ACDUM3","","Haemoproteus"
"39","ACDUM1","","Haemoproteus"
"41","ACDUM5","","Haemoproteus"
"42","SYBOR02","","Plasmodium"
"45","WW2","","Haemoproteus"
"46","RW3","","Haemoproteus"
"49","SW1","","Haemoproteus"
"51","RW1","MAPH2","Haemoproteus"
"56","SW5","","Plasmodium"
"57","ROBIN1","","Haemoproteus"
"60","SW3","","Haemoproteus"
"63","WW1","","Haemoproteus"
"69","RW2","","Haemoproteus"
"77","TROAED15","SA15,SA16","Haemoproteus"
"78","TROAED20","","Haemoproteus"
"79","TROAED18","SA10","Haemoproteus"
"80","ROFI1","","Haemoproteus"
"81","PHSIB1","","Haemoproteus"
"82","STOCC06","","Leucocytozoon"
"83","AEFUN02","","Leucocytozoon"
"84","BT2","","Leucocytozoon"
"86","AEMO02","","Leucocytozoon"
