"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"1","DENPET03","","Plasmodium"
"2","AMPBIL02","BTSP03","Haemoproteus"
"3","TROAED24","BTSP08","Plasmodium"
"4","ARRFLA01","H07","Haemoproteus"
"5","COLL4","H27","Plasmodium"
"7","ARRTAC01","","Plasmodium"
"8","BAEBIC02","SOSP_CA3P","Plasmodium"
"9","PAVER01","ATLLAT05,CHLRIE02","Leucocytozoon"
"10","ARBRU02","DICER-01","Haemoproteus"
"11","ATMEL01","DICER-01","Haemoproteus"
"12","CHLOPH01","","Haemoproteus"
"13","CHOGRA01","","Haemoproteus"
"14","SPIPAS07","","Leucocytozoon"
"15","CB1","ICBI,L fringillinarum,L.AK04","Leucocytozoon"
"16","CNEORN01","L Co1,L smokies","Leucocytozoon"
"17","JUHYE18","","Leucocytozoon"
"18","JUHYE19","","Leucocytozoon"
"19","ZOLEU02","L.AK18","Leucocytozoon"
"20","JUHYE12","","Haemoproteus"
"21","ACAFLA03","","Leucocytozoon"
"22","CATUST10","DEJU_CA_ELW_2H","Haemoproteus"
"23","CATUST14","","Leucocytozoon"
"24","PACPEC02","","Haemoproteus"
"25","TUMIG12","","Leucocytozoon"
"26","GYMSAL01","","Haemoproteus"
"27","PASILI01","","Haemoproteus"
"28","JUHYE03","H.AK08","Haemoproteus"
"29","SETAUD14","","Haemoproteus"
"30","SPIARB01","H.AK06","Haemoproteus"
"31","GEOTRI09","P04.B","Plasmodium"
"32","SETCOR06","","Leucocytozoon"
"35","BT7","P43,AMR.KGM64,P.AK01","Plasmodium"
"36","GEOTRI01","OZ06J620","Plasmodium"
"40","PADOM11","","Plasmodium"
"41","APSPI03","P_SOSP4","Plasmodium"
"42","MELMEL01","P_SOSP1","Plasmodium"
"43","MELMEL04","P_SOSP7","Plasmodium"
"46","SEIAUR01","SPTO_CA_ELW_6P","Plasmodium"
"47","RWB01","D1","Plasmodium"
"57","PIPMAC01","","Haemoproteus"
"60","PIPMAC03","","Haemoproteus"
"64","DUMCAR01","","Leucocytozoon"
"65","SIAMEX01","","Haemoproteus"
"67","SPIPAS09","","Leucocytozoon"
"68","SPIPAS01","","Haemoproteus"
"70","WW3","","Plasmodium"
"71","SPIPAS02","","Haemoproteus"
"73","ZONCAP12","","Leucocytozoon"
"75","ZOCAP16","PlasH12","Plasmodium"
"76","GRW04","PlasH11","Plasmodium"
"77","ZOCAP17","HaemH17","Haemoproteus"
"78","TROAED01","LEPAFF01","Leucocytozoon"
"79","ZOCAP14","ZOCAP10","Haemoproteus"
"80","ZOCAP08","Haemoproteus sp. ZC1","Haemoproteus"
"81","PADOM17","FURLEU01","Plasmodium"
"82","CONCIN02","","Leucocytozoon"
"83","VOLJAC02","","Plasmodium"
"84","CNERUB01","","Haemoproteus"
"85","TRMEL02","TRMEL02","Plasmodium"
"87","ZOCAP03","ChP6","Plasmodium"
"88","ELAALB01","H10","Haemoproteus"
"89","ZOCAP21","HaemH28","Haemoproteus"
"90","PADOM09","","Plasmodium"
"91","CURCUR01","H22","Plasmodium"
"92","TROAED02","","Leucocytozoon"
"93","ZOCAP19","HaemH20","Haemoproteus"
"94","ZOCAP01","ChH4","Haemoproteus"
"97","DUNNO01","H.AK05,H.AK09","Haemoproteus"
"99","PERCAN01","","Leucocytozoon"
