"","pairs","res","tiplab","Lineage_Name","jackknife"
"1","Accipiter_gentilis-ACCGEN01",1.61875445850296,"Accipiter_gentilis","ACCGEN01",3.24467743080777
"2","Accipiter_gentilis-BUTBUT03",1.61169791227577,"Accipiter_gentilis","BUTBUT03",3.23103665035387
"3","Accipiter_gentilis-TURDUS1",1.70044331641084,"Accipiter_gentilis","TURDUS1",3.40251446718275
"4","Accipiter_nisus-ACNI03",1.61807544740106,"Accipiter_nisus","ACNI03",3.24276393608807
"5","Accipiter_nisus-ACNI04",1.61918817360992,"Accipiter_nisus","ACNI04",3.24530064737201
"6","Accipiter_nisus-ACNI1",1.61815499476996,"Accipiter_nisus","ACNI1",3.24287351314888
"7","Accipiter_nisus-BT7",1.70439423372403,"Accipiter_nisus","BT7",3.41040209704306
"8","Accipiter_nisus-CIAE02",1.60856764140592,"Accipiter_nisus","CIAE02",3.22235051920188
"9","Accipiter_nisus-TURDUS1",1.70055049058766,"Accipiter_nisus","TURDUS1",3.40281415636628
"10","Acridotheres_tristis-FANTAIL01",0.470781880272416,"Acridotheres_tristis","FANTAIL01",0.946817577944898
"11","Acridotheres_tristis-GRW04",0.461621243902365,"Acridotheres_tristis","GRW04",0.925404203286007
"12","Acridotheres_tristis-SGS1",0.443153754837213,"Acridotheres_tristis","SGS1",0.883506440447036
"13","Acrocephalus_agricola-ACAGR2",0.496481203526853,"Acrocephalus_agricola","ACAGR2",0.994933506420239
"14","Acrocephalus_agricola-ACDUM2",0.492624885388834,"Acrocephalus_agricola","ACDUM2",0.98739099189811
"15","Acrocephalus_agricola-GRW04",0.546613948383809,"Acrocephalus_agricola","GRW04",1.09280572701459
"16","Acrocephalus_agricola-GRW11",0.544418477282691,"Acrocephalus_agricola","GRW11",1.08869940113232
"17","Acrocephalus_agricola-HIICT1",0.489817696629419,"Acrocephalus_agricola","HIICT1",0.981884847148535
