"","pairs","res","tiplab","Lineage_Name","jackknife"
"1","Acridotheres_tristis-FANTAIL01",0.375913460640823,"Acridotheres_tristis","FANTAIL01",0.756348007558245
"2","Acridotheres_tristis-GRW04",0.376561676567807,"Acridotheres_tristis","GRW04",0.754617030644113
"3","Acridotheres_tristis-SGS1",0.36468955179197,"Acridotheres_tristis","SGS1",0.727428546653982
"4","Acrocephalus_agricola-ACAGR2",0.4264917739807,"Acrocephalus_agricola","ACAGR2",0.855948751037772
"5","Acrocephalus_agricola-ACDUM2",0.423987451263034,"Acrocephalus_agricola","ACDUM2",0.851138419318772
"6","Acrocephalus_agricola-GRW04",0.482926335191211,"Acrocephalus_agricola","GRW04",0.9650650750051
"7","Acrocephalus_agricola-GRW11",0.481466043930431,"Acrocephalus_agricola","GRW11",0.962366677630712
"8","Acrocephalus_agricola-HIICT1",0.421939980655545,"Acrocephalus_agricola","HIICT1",0.847145772658109
"9","Acrocephalus_agricola-SGS1",0.481945698852582,"Acrocephalus_agricola","SGS1",0.963281533485429
"10","Acrocephalus_agricola-SW4",0.464523687673338,"Acrocephalus_agricola","SW4",0.930253282293734
"11","Acrocephalus_arundinaceus-ACSTE1",0.425774649298559,"Acrocephalus_arundinaceus","ACSTE1",0.854787932428167
"12","Acrocephalus_arundinaceus-GRW01",0.427441493531853,"Acrocephalus_arundinaceus","GRW01",0.857311908636007
"13","Acrocephalus_arundinaceus-GRW02",0.485253289895501,"Acrocephalus_arundinaceus","GRW02",0.970004742223068
"14","Acrocephalus_arundinaceus-GRW03",0.426915039633736,"Acrocephalus_arundinaceus","GRW03",0.856894196310122
"15","Acrocephalus_arundinaceus-GRW04",0.482950518932939,"Acrocephalus_arundinaceus","GRW04",0.965129596194856
"16","Acrocephalus_arundinaceus-GRW05",0.427664303239834,"Acrocephalus_arundinaceus","GRW05",0.8582966423686
"17","Acrocephalus_arundinaceus-GRW06",0.488681761581012,"Acrocephalus_arundinaceus","GRW06",0.976225590958734
"18","Acrocephalus_arundinaceus-GRW08",0.428322426460745,"Acrocephalus_arundinaceus","GRW08",0.859570088446276
"19","Acrocephalus_arundinaceus-GRW10",0.485281105685867,"Acrocephalus_arundinaceus","GRW10",0.970084127052814
"20","Acrocephalus_arundinaceus-GRW11",0.481464252550615,"Acrocephalus_arundinaceus","GRW11",0.962388334420552
"21","Acrocephalus_arundinaceus-RTSR1",0.484895255079602,"Acrocephalus_arundinaceus","RTSR1",0.969376346693139
"22","Acrocephalus_arundinaceus-SGS1",0.48198137958119,"Acrocephalus_arundinaceus","SGS1",0.963370943328755
"23","Acrocephalus_arundinaceus-SW2",0.487890731309715,"Acrocephalus_arundinaceus","SW2",0.975095967877905
"24","Acrocephalus_baeticatus-ARW1",0.420976538671751,"Acrocephalus_baeticatus","ARW1",0.845707242691674
"25","Acrocephalus_baeticatus-MW1",0.424733924823214,"Acrocephalus_baeticatus","MW1",0.853250577845074
"26","Acrocephalus_dumetorum-ACDUM1",0.426719586622166,"Acrocephalus_dumetorum","ACDUM1",0.856265617871031
"27","Acrocephalus_dumetorum-ACDUM2",0.424261607751663,"Acrocephalus_dumetorum","ACDUM2",0.851412752939382
"28","Acrocephalus_dumetorum-ACDUM3",0.427712877778325,"Acrocephalus_dumetorum","ACDUM3",0.858224740506216
"29","Acrocephalus_dumetorum-ACDUM4",0.426691621776024,"Acrocephalus_dumetorum","ACDUM4",0.856219655590053
"30","Acrocephalus_dumetorum-ACDUM5",0.465167898845857,"Acrocephalus_dumetorum","ACDUM5",0.931490916919074
"31","Acrocephalus_dumetorum-MW1",0.425652788811902,"Acrocephalus_dumetorum","MW1",0.853967337052154
"32","Acrocephalus_dumetorum-SW2",0.487645710772388,"Acrocephalus_dumetorum","SW2",0.974132177147453
"33","Acrocephalus_paludicola-SW2",0.487738454399464,"Acrocephalus_paludicola","SW2",0.974495748735535
"34","Acrocephalus_paludicola-SYBOR02",0.482785835941603,"Acrocephalus_paludicola","SYBOR02",0.964696764414953
"35","Acrocephalus_paludicola-TURDUS1",0.483673163652283,"Acrocephalus_paludicola","TURDUS1",0.966131374777774
"36","Acrocephalus_palustris-ARW1",0.4222962992688,"Acrocephalus_palustris","ARW1",0.848160569189986
"37","Acrocephalus_palustris-MW1",0.425601907537103,"Acrocephalus_palustris","MW1",0.854627391020131
"38","Acrocephalus_palustris-RW3",0.423443174491834,"Acrocephalus_palustris","RW3",0.849827378328314
"39","Acrocephalus_palustris-SGS1",0.481927712245674,"Acrocephalus_palustris","SGS1",0.9632470475849
"40","Acrocephalus_palustris-SW1",0.424484606275453,"Acrocephalus_palustris","SW1",0.851851368963253
"41","Acrocephalus_palustris-WW2",0.459127906701868,"Acrocephalus_palustris","WW2",0.919441468803257
"42","Acrocephalus_schoenobaenus-GRW02",0.485514684016007,"Acrocephalus_schoenobaenus","GRW02",0.970294945559658
"43","Acrocephalus_schoenobaenus-GRW04",0.482943768963251,"Acrocephalus_schoenobaenus","GRW04",0.965060513003095
"44","Acrocephalus_schoenobaenus-ROBIN1",0.473743843443296,"Acrocephalus_schoenobaenus","ROBIN1",0.9481612873019
"45","Acrocephalus_schoenobaenus-RW1",0.437145972253777,"Acrocephalus_schoenobaenus","RW1",0.876793660853082
"46","Acrocephalus_schoenobaenus-SGS1",0.481975699290466,"Acrocephalus_schoenobaenus","SGS1",0.96332230313044
"47","Acrocephalus_schoenobaenus-SW1",0.425027286935782,"Acrocephalus_schoenobaenus","SW1",0.853021807153482
"48","Acrocephalus_schoenobaenus-SW2",0.487562073253882,"Acrocephalus_schoenobaenus","SW2",0.97398222580307
"49","Acrocephalus_schoenobaenus-SW3",0.424091406048389,"Acrocephalus_schoenobaenus","SW3",0.851181724646267
"50","Acrocephalus_schoenobaenus-SW5",0.482974326581933,"Acrocephalus_schoenobaenus","SW5",0.965322159474454
"51","Acrocephalus_schoenobaenus-WW2",0.45931880949288,"Acrocephalus_schoenobaenus","WW2",0.919866349606536
"52","Acrocephalus_scirpaceus-ARW1",0.422593606629638,"Acrocephalus_scirpaceus","ARW1",0.848196216848578
"53","Acrocephalus_scirpaceus-GRW04",0.482927881990509,"Acrocephalus_scirpaceus","GRW04",0.965043610728458
"54","Acrocephalus_scirpaceus-GRW06",0.488843752025608,"Acrocephalus_scirpaceus","GRW06",0.976471404703375
"55","Acrocephalus_scirpaceus-GRW11",0.481525292136039,"Acrocephalus_scirpaceus","GRW11",0.962414325740383
"56","Acrocephalus_scirpaceus-MW1",0.425786252902656,"Acrocephalus_scirpaceus","MW1",0.854616919141677
"57","Acrocephalus_scirpaceus-RTSR1",0.485281868630519,"Acrocephalus_scirpaceus","RTSR1",0.969980862568264
"58","Acrocephalus_scirpaceus-RW1",0.437171063306561,"Acrocephalus_scirpaceus","RW1",0.876910788417035
"59","Acrocephalus_scirpaceus-RW2",0.424182983112413,"Acrocephalus_scirpaceus","RW2",0.851295106575208
"60","Acrocephalus_scirpaceus-SGS1",0.481969453107723,"Acrocephalus_scirpaceus","SGS1",0.963319352579333
"61","Acrocephalus_scirpaceus-SW1",0.425129259715667,"Acrocephalus_scirpaceus","SW1",0.853259366029306
"62","Acrocephalus_scirpaceus-SW5",0.482918264112875,"Acrocephalus_scirpaceus","SW5",0.965180278668072
"63","Acrocephalus_scirpaceus-WW1",0.464188488350563,"Acrocephalus_scirpaceus","WW1",0.929478168895002
"64","Acrocephalus_scirpaceus-WW2",0.459296243246818,"Acrocephalus_scirpaceus","WW2",0.919703053484227
"65","Acrocephalus_sechellensis-GRW01",0.427441493531797,"Acrocephalus_sechellensis","GRW01",0.857311908635097
"66","Acrocephalus_stentoreus-ACSTE1",0.425886137629948,"Acrocephalus_stentoreus","ACSTE1",0.854723562620279
"67","Acrocephalus_stentoreus-GRW03",0.427190289616675,"Acrocephalus_stentoreus","GRW03",0.857285338121187
"68","Aegithalos_caudatus-PHSIB1",0.454102350331876,"Aegithalos_caudatus","PHSIB1",0.909086284172872
"69","Aegithalos_caudatus-ROFI1",0.471271433840157,"Aegithalos_caudatus","ROFI1",0.944249390796699
"70","Agelaioides_badius-MOLBAD01",0.337009599753965,"Agelaioides_badius","MOLBAD01",0.674752381122516
"71","Agelaius_phoeniceus-RWB01",0.357404989970299,"Agelaius_phoeniceus","RWB01",0.715085633704234
"72","Agelaius_phoeniceus-SEIAUR01",0.329610972201545,"Agelaius_phoeniceus","SEIAUR01",0.659260363734347
"73","Alauda_arvensis-SGS1",0.486030826086709,"Alauda_arvensis","SGS1",0.977962754803912
"74","Alauda_arvensis-SYAT05",0.488588303664648,"Alauda_arvensis","SYAT05",0.983647876968007
