"","tip","X","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","Species3","Order3"
"1","Acridotheres tristis",10,"Sturnus tristis","FANTAIL01","","Plasmodium","Sturnus tristis","Acridotheres_tristis","no","Acridotheres tristis","FANTAIL01 Acridotheres tristis","Acridotheres tristis","Passeriformes"
"2","Acridotheres tristis",11,"Sturnus tristis","SGS1","P22","Plasmodium","Sturnus tristis","Acridotheres_tristis","no","Acridotheres tristis","SGS1 Acridotheres tristis","Acridotheres tristis","Passeriformes"
"3","Acridotheres tristis",12,"Sturnus tristis","GRW04","P15","Plasmodium","Sturnus tristis","Acridotheres_tristis","no","Acridotheres tristis","GRW04 Acridotheres tristis","Acridotheres tristis","Passeriformes"
"4","Acrocephalus agricola",13,"Acrocephalus agricola","HIICT1","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","HIICT1 Acrocephalus agricola","Acrocephalus agricola","Passeriformes"
"5","Acrocephalus agricola",14,"Acrocephalus agricola","ACAGR2","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","ACAGR2 Acrocephalus agricola","Acrocephalus agricola","Passeriformes"
"6","Acrocephalus agricola",15,"Acrocephalus agricola","GRW11","","Plasmodium","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","GRW11 Acrocephalus agricola","Acrocephalus agricola","Passeriformes"
"7","Acrocephalus agricola",16,"Acrocephalus agricola","SW4","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","SW4 Acrocephalus agricola","Acrocephalus agricola","Passeriformes"
"8","Acrocephalus agricola",17,"Acrocephalus agricola","ACDUM2","","Haemoproteus","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","ACDUM2 Acrocephalus agricola","Acrocephalus agricola","Passeriformes"
"9","Acrocephalus agricola",18,"Acrocephalus agricola","GRW04","","Plasmodium","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","GRW04 Acrocephalus agricola","Acrocephalus agricola","Passeriformes"
"10","Acrocephalus agricola",19,"Acrocephalus agricola","SGS1","","Plasmodium","Acrocephalus agricola","Acrocephalus_agricola","yes","Acrocephalus agricola","SGS1 Acrocephalus agricola","Acrocephalus agricola","Passeriformes"
"11","Acrocephalus arundinaceus",20,"Acrocephalus arundinaceus","RTSR1","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","RTSR1 Acrocephalus arundinaceus","Acrocephalus arundinaceus","Passeriformes"
"12","Acrocephalus arundinaceus",21,"Acrocephalus arundinaceus","GRW11","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW11 Acrocephalus arundinaceus","Acrocephalus arundinaceus","Passeriformes"
"13","Acrocephalus arundinaceus",22,"Acrocephalus arundinaceus","SW2","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","SW2 Acrocephalus arundinaceus","Acrocephalus arundinaceus","Passeriformes"
"14","Acrocephalus arundinaceus",23,"Acrocephalus arundinaceus","GRW10","","Plasmodium","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","GRW10 Acrocephalus arundinaceus","Acrocephalus arundinaceus","Passeriformes"
"15","Acrocephalus arundinaceus",24,"Acrocephalus arundinaceus","ACSTE1","","Haemoproteus","Acrocephalus arundinaceus","Acrocephalus_arundinaceus","yes","Acrocephalus arundinaceus","ACSTE1 Acrocephalus arundinaceus","Acrocephalus arundinaceus","Passeriformes"
