"","Lineage_Name","Alt_Lineage_Name","parasiteGenus"
"1","FANTAIL01","","Plasmodium"
"2","SGS1","P22","Plasmodium"
"3","GRW04","P15","Plasmodium"
"4","HIICT1","","Haemoproteus"
"5","ACAGR2","","Haemoproteus"
"6","GRW11","","Plasmodium"
"7","SW4","","Haemoproteus"
"8","ACDUM2","","Haemoproteus"
"11","RTSR1","","Plasmodium"
"13","SW2","","Plasmodium"
"14","GRW10","","Plasmodium"
"15","ACSTE1","","Haemoproteus"
"16","GRW05","","Haemoproteus"
"17","GRW02","","Plasmodium"
"19","GRW01","","Haemoproteus"
"20","GRW06","","Plasmodium"
"21","GRW03","","Haemoproteus"
"22","GRW08","","Haemoproteus"
"24","ARW1","","Haemoproteus"
"25","MW1","","Haemoproteus"
"28","ACDUM4","","Haemoproteus"
"29","ACDUM3","","Haemoproteus"
"30","ACDUM1","","Haemoproteus"
"32","ACDUM5","","Haemoproteus"
"33","SYBOR02","","Plasmodium"
"34","TURDUS1","","Plasmodium"
"36","WW2","","Haemoproteus"
"37","RW3","","Haemoproteus"
"40","SW1","","Haemoproteus"
"42","RW1","MAPH2","Haemoproteus"
"47","SW5","","Plasmodium"
"48","ROBIN1","","Haemoproteus"
"51","SW3","","Haemoproteus"
"54","WW1","","Haemoproteus"
"60","RW2","","Haemoproteus"
"68","ROFI1","","Haemoproteus"
"69","PHSIB1","","Haemoproteus"
"70","MOLBAD01","37","Haemoproteus"
"71","SEIAUR01","SPTO_CA_ELW_6P","Plasmodium"
"72","RWB01","","Plasmodium"
"74","SYAT05","","Plasmodium"
"75","POMFER01","P47","Plasmodium"
"76","ALMOR06","","Haemoproteus"
"77","ALMOR08","","Haemoproteus"
"78","ALCPOI02","","Haemoproteus"
"79","ALCPOI04","","Haemoproteus"
"80","ALEDIA02","WA19","Plasmodium"
"81","ALEDIA01","P14","Plasmodium"
"82","GRW09","P46","Plasmodium"
"83","ALBRE01","","Haemoproteus"
"84","DENPET03","","Plasmodium"
"85","AMPBIL02","BTSP03","Haemoproteus"
"86","TROAED24","BTSP08","Plasmodium"
"87","TROAED20","","Haemoproteus"
"89","ANLAT07","PV9","Plasmodium"
"91","ANLAT05","PV2","Plasmodium"
"92","ANLAT09","PV4L","Plasmodium"
"93","ANLAT01","pANLA1","Plasmodium"
"94","PHICT01","WA16","Plasmodium"
"95","ANLAT04","WA17","Plasmodium"
"96","ANLAT06","PV6","Plasmodium"
"97","ANLAT02","hANLA1","Haemoproteus"
"99","WW3","WW7","Plasmodium"
"101","ANIFLA01","","Haemoproteus"
"103","BELL01","LIN1","Plasmodium"
"105","PLOPRI01","P34,P35","Plasmodium"
"106","PYSUN1","PV15,PV15a","Plasmodium"
"107","HEDCOL01","PV39,PV39a","Plasmodium"
"109","RECOB4","PV25","Plasmodium"
"111","REB11","","Leucocytozoon"
"112","LK05","PAL282","Plasmodium"
"113","LK06","TF413","Plasmodium"
"114","TRPIP1","","Leucocytozoon"
"115","BT2","","Leucocytozoon"
"117","YWT2","","Haemoproteus"
"118","PBPIP1","ANTRI01","Plasmodium"
"119","LAIRI01","","Plasmodium"
"120","APHCAL01","","Leucocytozoon"
"121","ZOLPYR01","AspChL2","Leucocytozoon"
"122","DIUDIU11","AspChL1","Leucocytozoon"
"123","APSPI15","AspChH1","Haemoproteus"
"124","ELAALB05","AspChL4","Leucocytozoon"
"125","CATUST05","H24","Plasmodium"
"126","APSPI10","AspChL9","Leucocytozoon"
"127","ZOCAP14","","Haemoproteus"
"128","ARBRU02","","Haemoproteus"
"129","ARRFLA01","H07","Haemoproteus"
"130","COLL4","H27","Plasmodium"
"132","ARRTAC01","","Plasmodium"
"133","TROAED02","","Leucocytozoon"
"134","BUTMO01","THRBON02","Leucocytozoon"
"136","BAEBIC02","SOSP_CA3P","Plasmodium"
"137","PAVER01","ATLLAT05,CHLRIE02","Leucocytozoon"
"139","ATMEL01","DICER-01","Haemoproteus"
"140","GYMCYA01","","Leucocytozoon"
"141","COLBF21","","Leucocytozoon"
"143","GEOTRI02","","Plasmodium"
"145","PADOM09","PADOM09","Plasmodium"
"146","VOLJAC02","BAFLA03","Plasmodium"
"147","PHPAT01","PHPAT01","Plasmodium"
"149","BAFLA01","BAFLA01","Plasmodium"
"154","FOMAD01","","Leucocytozoon"
"156","BERZOS01","","Plasmodium"
"162","CALMAD01","","Leucocytozoon"
"163","KOKAKO01","","Plasmodium"
"165","CAOBS01","CAOBS01","Plasmodium"
"167","CARCAR05","","Leucocytozoon"
"168","DUMCAR01","","Leucocytozoon"
"169","PADOM11","","Plasmodium"
"171","CARBAR02","","Leucocytozoon"
"172","LINN1","","Plasmodium"
"173","CARCHL01","H147","Haemoproteus"
"178","CARCHL02","H148","Haemoproteus"
"179","CCF3","","Haemoproteus"
"181","CARFLA03","L.AK12","Leucocytozoon"
"182","ROFI6","2012haploROF16","Leucocytozoon"
"183","SISKIN1","SISKIN1","Haemoproteus"
"184","ACAFLA03","","Leucocytozoon"
"185","ACAFLA02","","Leucocytozoon"
"186","SPIARB01","H.AK06","Haemoproteus"
"187","TRPIP2","TRPIP2","Leucocytozoon"
"188","CB1","ICBI,L fringillinarum,L.AK04","Leucocytozoon"
"189","PYERY01","PYERY01","Haemoproteus"
"190","SPISAL02","","Haemoproteus"
"191","SPISAL01","","Haemoproteus"
"192","SPIPAS01","","Haemoproteus"
"195","ROFI2","","Haemoproteus"
"199","PADOM02","","Plasmodium"
"204","MOLATE01","P2","Plasmodium"
"205","ELALB01","ELALB01","Haemoproteus"
"206","DIGCAE01","","Haemoproteus"
"207","CATANA01","","Haemoproteus"
"208","CATFUS22","","Leucocytozoon"
"209","CATMIN05","","Leucocytozoon"
"211","CATGUT02","L.AK01","Leucocytozoon"
"212","BT7","P43","Plasmodium"
"213","CATMIN01","L.AK06","Leucocytozoon"
"214","TUMIG07","H.AK01,H.AK17","Haemoproteus"
"215","CATUST11","MD-2011.SWTH.AKCR.LIN.15L","Leucocytozoon"
"216","CATUST09","","Leucocytozoon"
"217","PHYBOR04","","Haemoproteus"
"218","HYLMUS02","","Leucocytozoon"
"221","TUPHI01","","Haemoproteus"
"222","COLL2","","Haemoproteus"
"223","CATMIN02","L.AK07","Leucocytozoon"
"224","POEHUD01","L.AK03,L.AK20,L.AK21,L.AK22","Leucocytozoon"
"225","POEATR01","H.AK03,H.AK10,H.AK16","Haemoproteus"
"226","CATUST06","","Plasmodium"
