"","X","tip","species","Lineage_Name","Alt_Lineage_Name","parasiteGenus","mal_original","Jetz.species","match","Scientific","id","genus"
"1",106,"Ammodramus humeralis","Ammodramus humeralis","DENPET03","","Plasmodium","Ammodramus humeralis","Ammodramus_humeralis","yes","Ammodramus humeralis","DENPET03 Ammodramus humeralis","Ammodramus"
"2",107,"Amphispiza bilineata","Amphispiza bilineata","AMPBIL02","BTSP03","Haemoproteus","Amphispiza bilineata","Amphispiza_bilineata","yes","Amphispiza bilineata","AMPBIL02 Amphispiza bilineata","Amphispiza"
"3",108,"Amphispiza bilineata","Amphispiza bilineata","TROAED24","BTSP08","Plasmodium","Amphispiza bilineata","Amphispiza_bilineata","yes","Amphispiza bilineata","TROAED24 Amphispiza bilineata","Amphispiza"
"4",173,"Arremon flavirostris","Arremon flavirostris","ARRFLA01","H07","Haemoproteus","Arremon flavirostris",NA,NA,"Arremon flavirostris","ARRFLA01 Arremon flavirostris","Arremon"
"5",174,"Arremon flavirostris","Arremon flavirostris","COLL4","H27","Plasmodium","Arremon flavirostris",NA,NA,"Arremon flavirostris","COLL4 Arremon flavirostris","Arremon"
"6",175,"Arremon taciturnus","Arremon taciturnus","DENPET03","","Plasmodium","Arremon taciturnus","Arremon_taciturnus","yes","Arremon taciturnus","DENPET03 Arremon taciturnus","Arremon"
"7",176,"Arremon taciturnus","Arremon taciturnus","ARRTAC01","","Plasmodium","Arremon taciturnus","Arremon_taciturnus","yes","Arremon taciturnus","ARRTAC01 Arremon taciturnus","Arremon"
"8",187,"Atlapetes albinucha","Atlapetes albinucha","BAEBIC02","SOSP_CA3P","Plasmodium","Atlapetes albinucha","Atlapetes_albinucha","yes","Atlapetes albinucha","BAEBIC02 Atlapetes albinucha","Atlapetes"
"9",188,"Atlapetes latinuchus","Atlapetes latinuchus","PAVER01","ATLLAT05,CHLRIE02","Leucocytozoon","Atlapetes latinuchus",NA,NA,"Atlapetes latinuchus","PAVER01 Atlapetes latinuchus","Atlapetes"
"10",189,"Atlapetes melanocephalus","Atlapetes melanocephalus","ARBRU02","DICER-01","Haemoproteus","Atlapetes melanocephalus","Atlapetes_melanocephalus","yes","Atlapetes melanocephalus","ARBRU02 Atlapetes melanocephalus","Atlapetes"
"11",190,"Atlapetes melanocephalus","Atlapetes melanocephalus","ATMEL01","DICER-01","Haemoproteus","Atlapetes melanocephalus","Atlapetes_melanocephalus","yes","Atlapetes melanocephalus","ATMEL01 Atlapetes melanocephalus","Atlapetes"
