"","tip","cites"
"1","Accipiter gentilis",93
"2","Accipiter nisus",38
"3","Acridotheres tristis",38
"4","Acrocephalus agricola",1
"5","Acrocephalus arundinaceus",53
"6","Acrocephalus baeticatus",3
"7","Acrocephalus dumetorum",4
"8","Acrocephalus paludicola",9
"9","Acrocephalus palustris",7
"10","Acrocephalus schoenobaenus",22
"11","Acrocephalus scirpaceus",9
"12","Acrocephalus sechellensis",68
"13","Acrocephalus stentoreus",2
"14","Adelomyia melanogenys",2
"15","Aegithalos caudatus",18
"16","Aegolius funereus",10
"17","Aegypius monachus",37
"18","Agelaioides badius",1
"19","Agelaius phoeniceus",132
"20","Aglaeactis castelnaudii",0
"21","Aglaiocercus kingi",0
"22","Alauda arvensis",6
"23","Alcedo leucogaster",0
"24","Alcippe morrisonia",4
"25","Alcippe poioicephala",0
"26","Alethe diademata",2
"27","Alethe poliocephala",0
"28","Alophoixus pallidus",1
"29","Alopochen aegyptiaca",5
"30","Ammodramus humeralis",1
"31","Amphispiza bilineata",3
"32","Anairetes parulus",0
"33","Anas acuta",63
"34","Anas discors",38
"35","Anas georgica",4
"36","Anas platyrhynchos",837
"37","Andropadus gracilis",0
"38","Andropadus latirostris",7
"39","Andropadus milanjensis",0
"40","Andropadus virens",10
"41","Anisognathus somptuosus",0
"42","Anous stolidus",12
"43","Anthornis melanura",6
"44","Anthreptes collaris",1
"45","Anthreptes fraseri",0
"46","Anthus berthelotii",16
"47","Anthus trivialis",6
"48","Aphelocoma californica",18
"49","Aphrastura spinicauda",10
"50","Aptenodytes patagonicus",121
"51","Apteryx australis",2
"52","Arremon brunneinucha",0
"53","Arremon flavirostris",2
"54","Arremon taciturnus",0
"55","Arremon torquatus",0
"56","Asio flammeus",9
"57","Asio otus",33
"58","Athene noctua",52
"59","Atlapetes albinucha",0
"60","Atlapetes latinuchus",0
"61","Atlapetes melanocephalus",0
"62","Aythya fuligula",48
"63","Baeolophus ridgwayi",0
"64","Balearica regulorum",4
"65","Basileuterus coronatus",0
"66","Basileuterus culicivorus",4
"67","Basileuterus flaveolus",0
"68","Basileuterus leucoblepharus",3
"69","Basileuterus tristriatus",1
"70","Bernieria cinereiceps",0
"71","Bernieria madagascariensis",0
"72","Bernieria zosterops",0
"73","Bleda eximius",0
"74","Bleda syndactylus",0
"75","Bubo bubo",34
"76","Bubo scandiaca",3
"77","Bubo virginianus",72
"78","Buteo buteo",140
"79","Buteo jamaicensis",163
"80","Buteo rufinus",14
"81","Cacicus chrysopterus",0
"82","Cacicus uropygialis",0
"83","Calicalicus madagascariensis",0
"84","Calidris ruficollis",13
"85","Callaeas cinereus",2
"86","Camaroptera brachyura",0
"87","Campephilus rubricollis",0
"88","Camptostoma obsoletum",0
"89","Campylorhynchus fasciatus",0
"90","Caracara plancus",11
"91","Cardinalis cardinalis",74
"92","Carduelis barbata",0
"93","Carduelis cannabina",0
"94","Carduelis carduelis",11
"95","Carduelis chloris",7
"96","Carduelis flammea",9
"97","Carduelis magellanica",0
"98","Carduelis psaltria",0
"99","Carduelis spinus",12
"100","Carpodacus erythrinus",5
"101","Carpodacus mexicanus",142
"102","Casiornis fuscus",0
"103","Catamblyrhynchus diadema",0
"104","Catamenia analis",0
"105","Cathartes aura",65
"106","Catharus fuscater",0
"107","Catharus fuscescens",12
"108","Catharus guttatus",15
"109","Catharus minimus",2
"110","Catharus ustulatus",36
"111","Cercomacra nigrescens",0
"112","Cercomacra serva",0
"113","Certhia brachydactyla",3
"114","Certhia familiaris",9
"115","Cettia cetti",0
