"","tip","cites"
"1","Accipiter gentilis",99
"2","Accipiter nisus",40
"3","Acridotheres tristis",45
"4","Acrocephalus agricola",1
"5","Acrocephalus arundinaceus",59
"6","Acrocephalus baeticatus",3
"7","Acrocephalus dumetorum",4
"8","Acrocephalus paludicola",9
"9","Acrocephalus palustris",7
"10","Acrocephalus schoenobaenus",22
"11","Acrocephalus scirpaceus",9
"12","Acrocephalus sechellensis",69
"13","Acrocephalus stentoreus",2
"14","Adelomyia melanogenys",2
"15","Aegithalos caudatus",18
"16","Agelaioides badius",1
"17","Agelaius phoeniceus",135
"18","Aglaeactis castelnaudii",0
"19","Aglaiocercus kingi",0
"20","Alauda arvensis",7
"21","Alcedo leucogaster",0
"22","Alcippe morrisonia",4
"23","Alcippe poioicephala",0
"24","Alethe diademata",2
"25","Alethe poliocephala",0
"26","Alophoixus pallidus",1
"27","Alopochen aegyptiaca",7
"28","Ammodramus humeralis",1
"29","Amphispiza bilineata",3
"30","Anairetes parulus",0
"31","Anas discors",38
"32","Anas georgica",5
"33","Anas platyrhynchos",863
"34","Andropadus gracilis",0
"35","Andropadus latirostris",7
"36","Andropadus milanjensis",0
"37","Andropadus virens",10
"38","Anisognathus somptuosus",0
"39","Anous stolidus",13
"40","Anthornis melanura",6
"41","Anthreptes collaris",1
"42","Anthreptes fraseri",0
"43","Anthus berthelotii",16
"44","Anthus trivialis",7
"45","Aphelocoma californica",19
"46","Aphrastura spinicauda",10
"47","Aptenodytes patagonicus",127
"48","Apteryx australis",2
"49","Arremon brunneinucha",0
"50","Arremon flavirostris",2
"51","Arremon taciturnus",0
"52","Arremon torquatus",0
"53","Asio otus",36
"54","Athene noctua",54
"55","Atlapetes albinucha",0
"56","Atlapetes melanocephalus",0
"57","Balearica regulorum",5
"58","Basileuterus coronatus",0
"59","Basileuterus culicivorus",4
"60","Basileuterus flaveolus",0
"61","Basileuterus leucoblepharus",3
"62","Basileuterus tristriatus",1
"63","Bernieria cinereiceps",0
"64","Bernieria madagascariensis",0
"65","Bernieria zosterops",0
"66","Bleda eximius",0
"67","Bleda syndactylus",0
"68","Bubo bubo",35
"69","Bubo scandiaca",3
"70","Bubo virginianus",77
"71","Buteo buteo",146
"72","Cacicus chrysopterus",0
"73","Cacicus uropygialis",0
"74","Calidris ruficollis",15
"75","Callaeas cinereus",2
"76","Camaroptera brachyura",0
"77","Campephilus rubricollis",0
"78","Camptostoma obsoletum",0
"79","Campylorhynchus fasciatus",0
"80","Caracara plancus",12
"81","Cardinalis cardinalis",78
"82","Carduelis cannabina",0
"83","Carduelis carduelis",12
"84","Carduelis chloris",7
"85","Carduelis flammea",9
"86","Carduelis magellanica",0
"87","Carduelis psaltria",0
"88","Carduelis spinus",12
"89","Carpodacus erythrinus",5
"90","Carpodacus mexicanus",142
"91","Casiornis fuscus",0
"92","Catamblyrhynchus diadema",0
"93","Catamenia analis",1
"94","Cathartes aura",67
"95","Catharus guttatus",16
"96","Catharus minimus",2
"97","Catharus ustulatus",39
"98","Cercomacra nigrescens",0
"99","Cercomacra serva",0
"100","Certhia brachydactyla",5
"101","Cettia cetti",0
"102","Ceyx pictus",0
"103","Chlorophanes spiza",0
"104","Chlorospingus ophthalmicus",6
"105","Chondestes grammacus",4
"106","Chrysococcyx caprius",0
"107","Chrysomma sinense",0
"108","Cinclidium leucurum",3
"109","Cinclus cinclus",12
"110","Cisticola fulvicapilla",0
"111","Claravis pretiosa",1
"112","Cnemotriccus fuscatus",2
"113","Coccothraustes coccothraustes",8
"114","Coeligena coeligena",0
"115","Coeligena iris",0
"116","Coeligena torquata",0
"117","Coeligena violifer",0
"118","Coereba flaveola",16
"119","Colaptes auratus",18
"120","Colibri thalassinus",0
"121","Colinus virginianus",197
"122","Colluricincla boweri",0
"123","Colluricincla megarhyncha",0
"124","Columba elphinstonii",0
"125","Columba livia",206
"126","Columba palumbus",3
"127","Columbina cruziana",0
"128","Columbina minuta",0
"129","Columbina passerina",4
"130","Columbina picui",3
"131","Columbina squammata",1
"132","Columbina talpacoti",3
"133","Conirostrum cinereum",1
"134","Conopophaga castaneiceps",0
"135","Conopophaga lineata",0
"136","Conopophaga melanops",1
"137","Copsychus albospecularis",0
"138","Copsychus malabaricus",3
"139","Corvus caurinus",1
"140","Corvus corone",84
"141","Corvus macrorhynchos",18
"142","Coryphospingus cucullatus",0
"143","Coryphospingus pileatus",0
"144","Cossypha niveicapilla",0
"145","Coturnix coturnix",264
"146","Cracticus louisiadensis",0
"147","Creagrus furcatus",3
"148","Creurgops verticalis",0
"149","Crex crex",11
"150","Criniger calurus",0
"151","Criniger chloronotus",0
"152","Crypturellus obsoletus",3
"153","Cuculus solitarius",1
"154","Curaeus curaeus",1
"155","Cyanocitta stelleri",8
"156","Cyanopica cyanus",13
"157","Cyanoramphus novaezelandiae",3
"158","Cyclarhis gujanensis",1
"159","Cygnus columbianus",13
"160","Cyphorhinus arada",1
"161","Cypsnagra hirundinacea",0
"162","Dacnis lineata",0
"163","Delichon urbicum",2
"164","Dendrocincla fuliginosa",0
"165","Dendrocincla merula",0
"166","Dendroica coronata",16
"167","Dendroica dominica",0
"168","Dendroica magnolia",0
"169","Dendroica pensylvanica",3
"170","Dendroica petechia",18
"171","Dendroica plumbea",0
"172","Dichrozona cincta",0
"173","Dicrurus adsimilis",8
"174","Diglossa brunneiventris",1
"175","Diglossa caerulescens",0
"176","Diglossa cyanea",0
"177","Diglossa lafresnayii",0
"178","Diuca diuca",3
"179","Dolichonyx oryzivorus",21
"180","Drymophila caudata",0
"181","Dumetella carolinensis",30
"182","Dysithamnus mentalis",1
"183","Elaenia albiceps",3
"184","Elaenia chiriquensis",1
"185","Elaenia cristata",1
"186","Elaenia martinica",0
"187","Elaenia pallatangae",0
"188","Elaenia parvirostris",2
"189","Emberiza cia",3
"190","Emberiza cirlus",5
"191","Emberiza citrinella",15
"192","Emberiza godlewskii",5
"193","Emberiza schoeniclus",19
"194","Emberiza spodocephala",6
"195","Emberizoides herbicola",0
"196","Entomodestes leucotis",0
"197","Eopsaltria australis",5
"198","Eriocnemis cupreoventris",0
"199","Eriocnemis derbyi",0
"200","Erithacus rubecula",101
"201","Erythropygia galactotes",0
"202","Eudyptes chrysocome",31
"203","Euphonia xanthogaster",0
"204","Euplectes afer",4
"205","Euplectes orix",8
"206","Eutoxeres condamini",1
"207","Falco naumanni",61
"208","Falco sparverius",186
"209","Falco tinnunculus",93
"210","Ficedula albicollis",157
"211","Ficedula hypoleuca",23
"212","Ficedula narcissina",0
"213","Ficedula nigrorufa",0
"214","Ficedula parva",3
"215","Formicarius analis",0
"216","Formicarius colma",0
"217","Formicivora melanogaster",0
"218","Foudia eminentissima",0
"219","Foudia madagascariensis",0
"220","Foudia omissa",0
"221","Fregata andrewsi",2
"222","Fregata magnificens",20
"223","Fregata minor",2
"224","Fringilla coelebs",3
"225","Fulica atra",25
"226","Furnarius leucopus",0
"227","Galbula cyanicollis",0
"228","Galbula ruficauda",1
"229","Gallinago megala",0
"230","Gallus gallus",109
"231","Garrulax delesserti",0
"232","Garrulus glandarius",20
"233","Geothlypis trichas",29
"234","Geotrygon frenata",0
"235","Geotrygon montana",1
"236","Glaucidium sjostedti",0
"237","Glyphorynchus spirurus",7
"238","Gnorimopsar chopi",1
"239","Grallaria guatimalensis",0
"240","Grus americana",59
"241","Grus nigricollis",31
"242","Gymnopithys rufigula",1
"243","Gymnopithys salvini",0
"244","Gymnorhina tibicen",23
"245","Habia rubica",0
"246","Halcyon senegalensis",0
"247","Heliangelus viola",0
"248","Heliodoxa leadbeateri",0
"249","Heliodoxa rubinoides",0
"250","Heliolais erythropterus",0
"251","Hemignathus virens",3
"252","Hemispingus frontalis",0
"253","Henicorhina leucophrys",5
"254","Heteromyias albispecularis",0
"255","Hippolais icterina",2
"256","Hippolais pallida",2
"257","Hippolais polyglotta",3
"258","Hirundo rustica",266
"259","Humblotia flavirostris",1
"260","Hylocichla mustelina",32
"261","Hylophilus amaurocephalus",0
"262","Hypocnemis striata",1
"263","Hypsipetes leucocephalus",0
"264","Hypsipetes madagascariensis",0
"265","Icteria virens",7
"266","Icterus cayanensis",0
"267","Iridosornis analis",0
"268","Ixobrychus minutus",3
"269","Ixos amaurotis",0
"270","Ixos philippinus",0
"271","Junco hyemalis",160
"272","Jynx torquilla",1
"273","Lafresnaya lafresnayi",0
"274","Lamprotornis superbus",29
"275","Laniarius ferrugineus",0
"276","Lanius collurio",31
"277","Lanius minor",2
"278","Larus crassirostris",30
"279","Lathrotriccus euleri",1
"280","Lepidocolaptes affinis",0
"281","Lepidothrix coronata",3
"282","Lepidothrix isidorei",0
"283","Lepidothrix nattereri",1
"284","Leptopogon amaurocephalus",2
"285","Leptopogon superciliaris",0
"286","Leptopogon taczanowskii",0
"287","Leptotila rufaxilla",1
"288","Leptotila verreauxi",2
"289","Leucosticte australis",0
"290","Lichenostomus frenatus",0
"291","Linurgus olivaceus",0
"292","Locustella luscinioides",4
"293","Lonchura cucullata",0
"294","Loxia curvirostra",42
"295","Loxigilla noctis",2
"296","Luscinia luscinia",32
